"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"3,554,312","765,516","111,930","98,623","127,273","202,883","216,823","252,750","375,605","520,843","432,652","194,506","107,862","70,783","36,807","24,338","12,276","2,473",369
總　　　　計,男,"1,860,740","398,431","67,782","61,388","74,113","112,603","124,118","138,428","192,908","259,025","209,522","95,639","52,638","34,517","17,211","12,936","7,710","1,539",232
,女,"1,693,572","367,085","44,148","37,235","53,160","90,280","92,705","114,322","182,697","261,818","223,130","98,867","55,224","36,266","19,596","11,402","4,566",934,137
,計,"1,286,495","763,432","94,462","63,327","59,579","70,594","57,123","48,024","47,235","42,305","24,782","8,528","3,378","1,643",763,607,493,187,33
未　　　　婚,男,"772,123","398,058","61,045","44,733","43,465","53,921","45,227","36,403","34,999","30,596","16,328","4,153","1,339",593,320,347,405,164,27
,女,"514,372","365,374","33,417","18,594","16,114","16,673","11,896","11,621","12,236","11,709","8,454","4,375","2,039","1,050",443,260,88,23,6
,計,"1,595,739","1,800","12,934","24,993","48,395","90,999","104,426","135,890","232,336","353,856","303,328","135,064","72,274","43,783","19,168","10,694","4,902",782,115
有　　　　偶,男,"814,421",346,"5,136","11,996","22,160","41,096","52,090","67,810","112,843","176,075","154,660","74,664","42,336","27,153","12,433","8,317","4,474",728,104
,女,"781,318","1,454","7,798","12,997","26,235","49,903","52,336","68,080","119,493","177,781","148,668","60,400","29,938","16,630","6,735","2,377",428,54,11
,計,"1,595,098","1,794","12,806","24,823","48,245","90,911","104,384","135,857","232,321","353,852","303,326","135,062","72,273","43,783","19,168","10,694","4,902",782,115
不同性別,男,"814,325",345,"5,117","11,975","22,129","41,089","52,088","67,802","112,838","176,075","154,659","74,664","42,335","27,153","12,433","8,317","4,474",728,104
,女,"780,773","1,449","7,689","12,848","26,116","49,822","52,296","68,055","119,483","177,777","148,667","60,398","29,938","16,630","6,735","2,377",428,54,11
,計,641,6,128,170,150,88,42,33,15,4,2,2,1,—,—,—,—,—,—
相同性別,男,96,1,19,21,31,7,2,8,5,—,1,—,1,—,—,—,—,—,—
,女,545,5,109,149,119,81,40,25,10,4,1,2,—,—,—,—,—,—,—
,計,"454,701",281,"4,505","10,193","18,751","39,163","51,262","61,048","78,625","89,681","62,170","23,169","9,101","4,000","1,386",801,458,93,14
離婚/終止結婚,男,"233,984",27,"1,599","4,646","8,425","17,431","26,386","33,329","42,818","47,130","31,655","11,938","4,847","2,122",701,483,362,74,11
,女,"220,717",254,"2,906","5,547","10,326","21,732","24,876","27,719","35,807","42,551","30,515","11,231","4,254","1,878",685,318,96,19,3
,計,"454,663",279,"4,483","10,183","18,751","39,160","51,262","61,048","78,624","89,681","62,170","23,169","9,101","4,000","1,386",801,458,93,14
不同性別,男,"233,973",26,"1,593","4,643","8,425","17,431","26,386","33,329","42,817","47,130","31,655","11,938","4,847","2,122",701,483,362,74,11
,女,"220,690",253,"2,890","5,540","10,326","21,729","24,876","27,719","35,807","42,551","30,515","11,231","4,254","1,878",685,318,96,19,3
,計,38,2,22,10,—,3,—,—,1,—,—,—,—,—,—,—,—,—,—
相同性別,男,11,1,6,3,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—
,女,27,1,16,7,—,3,—,—,—,—,—,—,—,—,—,—,—,—,—
,計,"217,377",3,29,110,548,"2,127","4,012","7,788","17,409","35,001","42,372","27,745","23,109","21,357","15,490","12,236","6,423","1,411",207
喪　　　　偶,男,"40,212",—,2,13,63,155,415,886,"2,248","5,224","6,879","4,884","4,116","4,649","3,757","3,789","2,469",573,90
,女,"177,165",3,27,97,485,"1,972","3,597","6,902","15,161","29,777","35,493","22,861","18,993","16,708","11,733","8,447","3,954",838,117
,計,"217,376",3,29,110,548,"2,127","4,012","7,787","17,409","35,001","42,372","27,745","23,109","21,357","15,490","12,236","6,423","1,411",207
不同性別,男,"40,211",—,2,13,63,155,415,885,"2,248","5,224","6,879","4,884","4,116","4,649","3,757","3,789","2,469",573,90
,女,"177,165",3,27,97,485,"1,972","3,597","6,902","15,161","29,777","35,493","22,861","18,993","16,708","11,733","8,447","3,954",838,117
,計,1,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,1,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—
,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
