"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"1,151,527",—,"10,835","141,308","189,075","208,600","183,741","145,042","112,972","70,490","41,597","26,244","12,549","5,445","2,250",996,319,55,9
總　　　　計,男,"694,651",—,"6,461","88,184","112,807","122,866","104,760","83,589","66,938","45,001","28,238","18,854","9,396","4,375","1,957",876,293,48,8
,女,"456,876",—,"4,374","53,124","76,268","85,734","78,981","61,453","46,034","25,489","13,359","7,390","3,153","1,070",293,120,26,7,1
,計,"420,125",—,"10,773","130,486","114,090","68,195","38,389","24,844","15,986","8,246","4,238","2,736","1,394",511,150,65,10,12,—
未　　　　婚,男,"238,869",—,"6,430","82,503","71,226","39,786","17,599","9,485","5,431","2,736","1,599","1,082",573,262,104,39,5,9,—
,女,"181,256",—,"4,343","47,983","42,864","28,409","20,790","15,359","10,555","5,510","2,639","1,654",821,249,46,26,5,3,—
,計,"679,580",—,60,"10,650","73,328","135,240","137,067","110,273","87,222","55,326","32,986","20,723","9,791","4,199","1,739",714,230,26,6
有　　　　偶,男,"430,270",—,30,"5,607","40,744","80,452","83,173","69,593","57,015","38,834","24,373","16,210","8,011","3,681","1,609",681,226,25,6
,女,"249,310",—,30,"5,043","32,584","54,788","53,894","40,680","30,207","16,492","8,613","4,513","1,780",518,130,33,4,1,—
,計,"678,983",—,59,"10,606","73,215","135,078","136,918","110,207","87,182","55,310","32,985","20,720","9,789","4,199","1,739",714,230,26,6
不同性別,男,"430,022",—,29,"5,587","40,705","80,402","83,106","69,563","56,992","38,822","24,372","16,207","8,009","3,681","1,609",681,226,25,6
,女,"248,961",—,30,"5,019","32,510","54,676","53,812","40,644","30,190","16,488","8,613","4,513","1,780",518,130,33,4,1,—
,計,597,—,1,44,113,162,149,66,40,16,1,3,2,—,—,—,—,—,—
相同性別,男,248,—,1,20,39,50,67,30,23,12,1,3,2,—,—,—,—,—,—
,女,349,—,—,24,74,112,82,36,17,4,—,—,—,—,—,—,—,—,—
,計,"44,289",—,2,168,"1,617","4,991","7,843","9,162","8,656","5,782","3,269","1,763",680,235,71,39,7,4,—
離婚/終止結婚,男,"22,038",—,1,72,819,"2,561","3,829","4,220","4,060","2,930","1,771","1,049",457,165,59,34,7,4,—
,女,"22,251",—,1,96,798,"2,430","4,014","4,942","4,596","2,852","1,498",714,223,70,12,5,—,—,—
,計,"44,287",—,2,167,"1,617","4,990","7,843","9,162","8,656","5,782","3,269","1,763",680,235,71,39,7,4,—
不同性別,男,"22,037",—,1,71,819,"2,561","3,829","4,220","4,060","2,930","1,771","1,049",457,165,59,34,7,4,—
,女,"22,250",—,1,96,798,"2,429","4,014","4,942","4,596","2,852","1,498",714,223,70,12,5,—,—,—
,計,2,—,—,1,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,1,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,1,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,—
,計,"7,533",—,—,4,40,174,442,763,"1,108","1,136","1,104","1,022",684,500,290,178,72,13,3
喪　　　　偶,男,"3,474",—,—,2,18,67,159,291,432,501,495,513,355,267,185,122,55,10,2
,女,"4,059",—,—,2,22,107,283,472,676,635,609,509,329,233,105,56,17,3,1
,計,"7,532",—,—,4,40,174,442,763,"1,108","1,135","1,104","1,022",684,500,290,178,72,13,3
不同性別,男,"3,474",—,—,2,18,67,159,291,432,501,495,513,355,267,185,122,55,10,2
,女,"4,058",—,—,2,22,107,283,472,676,634,609,509,329,233,105,56,17,3,1
,計,1,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,1,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—
