"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"2,622,163","83,540","6,111","3,488","12,523","28,372","37,078","35,259","51,051","113,722","258,006","561,939","450,007","365,295","327,596","189,305","77,456","18,537","2,878"
總　　　　計,男,"930,310","43,564","3,007","1,624","5,524","6,726","11,806","13,414","19,632","36,011","80,124","207,283","164,014","130,250","113,764","62,630","24,347","5,595",995
,女,"1,691,853","39,976","3,104","1,864","6,999","21,646","25,272","21,845","31,419","77,711","177,882","354,656","285,993","235,045","213,832","126,675","53,109","12,942","1,883"
,計,"212,226","83,485","5,738","2,287","5,293","5,184","8,067","8,453","9,862","12,279","15,829","21,749","13,005","7,940","6,262","3,424","2,150",942,277
未　　　　婚,男,"119,986","43,560","2,883","1,248","3,531","3,711","5,706","5,571","6,598","8,159","10,441","12,578","6,548","3,794","2,572","1,360",990,535,201
,女,"92,240","39,925","2,855","1,039","1,762","1,473","2,361","2,882","3,264","4,120","5,388","9,171","6,457","4,146","3,690","2,064","1,160",407,76
,計,"1,360,529",43,273,855,"4,928","14,868","18,957","16,943","25,900","67,437","164,723","364,792","271,270","194,815","141,722","56,233","14,178","2,237",355
有　　　　偶,男,"603,772",4,103,236,"1,350","1,874","3,772","5,022","8,388","19,668","53,519","157,710","128,103","99,184","78,067","34,409","10,256","1,803",304
,女,"756,757",39,170,619,"3,578","12,994","15,185","11,921","17,512","47,769","111,204","207,082","143,167","95,631","63,655","21,824","3,922",434,51
,計,"1,360,426",43,270,850,"4,897","14,848","18,939","16,932","25,892","67,435","164,720","364,791","271,269","194,815","141,722","56,233","14,178","2,237",355
不同性別,男,"603,756",4,102,234,"1,349","1,872","3,770","5,019","8,386","19,666","53,518","157,710","128,103","99,184","78,067","34,409","10,256","1,803",304
,女,"756,670",39,168,616,"3,548","12,976","15,169","11,913","17,506","47,769","111,202","207,081","143,166","95,631","63,655","21,824","3,922",434,51
,計,103,—,3,5,31,20,18,11,8,2,3,1,1,—,—,—,—,—,—
相同性別,男,16,—,1,2,1,2,2,3,2,2,1,—,—,—,—,—,—,—,—
,女,87,—,2,3,30,18,16,8,6,—,2,1,1,—,—,—,—,—,—
,計,"214,182",11,99,333,"2,179","7,221","8,361","7,975","11,443","20,891","36,185","58,231","31,811","15,354","8,702","3,484","1,423",413,66
離婚/終止結婚,男,"83,671",—,21,140,642,"1,129","2,295","2,740","4,405","7,318","12,995","24,522","14,229","7,077","3,724","1,440",720,228,46
,女,"130,511",11,78,193,"1,537","6,092","6,066","5,235","7,038","13,573","23,190","33,709","17,582","8,277","4,978","2,044",703,185,20
,計,"214,172",11,99,331,"2,177","7,218","8,360","7,975","11,443","20,891","36,184","58,230","31,811","15,354","8,702","3,484","1,423",413,66
不同性別,男,"83,671",—,21,140,642,"1,129","2,295","2,740","4,405","7,318","12,995","24,522","14,229","7,077","3,724","1,440",720,228,46
,女,"130,501",11,78,191,"1,535","6,089","6,065","5,235","7,038","13,573","23,189","33,708","17,582","8,277","4,978","2,044",703,185,20
,計,10,—,—,2,2,3,1,—,—,—,1,1,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,10,—,—,2,2,3,1,—,—,—,1,1,—,—,—,—,—,—,—
,計,"835,226",1,1,13,123,"1,099","1,693","1,888","3,846","13,115","41,269","117,167","133,921","147,186","170,910","126,164","59,705","14,945","2,180"
喪　　　　偶,男,"122,881",—,—,—,1,12,33,81,241,866,"3,169","12,473","15,134","20,195","29,401","25,421","12,381","3,029",444
,女,"712,345",1,1,13,122,"1,087","1,660","1,807","3,605","12,249","38,100","104,694","118,787","126,991","141,509","100,743","47,324","11,916","1,736"
,計,"835,226",1,1,13,123,"1,099","1,693","1,888","3,846","13,115","41,269","117,167","133,921","147,186","170,910","126,164","59,705","14,945","2,180"
不同性別,男,"122,881",—,—,—,1,12,33,81,241,866,"3,169","12,473","15,134","20,195","29,401","25,421","12,381","3,029",444
,女,"712,345",1,1,13,122,"1,087","1,660","1,807","3,605","12,249","38,100","104,694","118,787","126,991","141,509","100,743","47,324","11,916","1,736"
,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
