"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"6,315,556","347,505","843,180","371,132","355,770","506,934","646,922","629,902","718,461","670,884","544,100","357,471","163,059","79,122","41,311","21,577","14,173","3,584",469
總　　　　計,男,"3,259,616","183,026","464,321","224,537","204,178","271,937","330,709","298,962","335,774","309,105","265,760","182,055","89,380","47,604","26,367","13,994","9,409","2,242",256
,女,"3,055,940","164,479","378,859","146,595","151,592","234,997","316,213","330,940","382,687","361,779","278,340","175,416","73,679","31,518","14,944","7,583","4,764","1,342",213
,計,"2,306,718","346,885","815,320","278,085","191,588","180,997","165,097","107,931","89,514","62,629","37,657","19,887","7,170","2,100",802,444,426,163,23
未　　　　婚,男,"1,351,793","182,896","454,882","183,881","128,231","121,169","107,024","65,121","49,277","31,220","16,877","7,219","2,248",730,319,235,312,133,19
,女,"954,925","163,989","360,438","94,204","63,357","59,828","58,073","42,810","40,237","31,409","20,780","12,668","4,922","1,370",483,209,114,30,4
,計,"3,072,830",586,"23,732","76,863","136,314","264,102","371,850","392,021","477,511","466,460","390,104","257,773","115,689","54,388","26,113","11,571","6,368","1,256",129
有　　　　偶,男,"1,519,798",124,"8,148","34,079","63,764","124,118","174,991","176,863","220,354","220,464","203,388","144,838","72,730","38,670","20,319","9,809","5,842","1,185",112
,女,"1,553,032",462,"15,584","42,784","72,550","139,984","196,859","215,158","257,157","245,996","186,716","112,935","42,959","15,718","5,794","1,762",526,71,17
,計,"3,069,990",582,"23,439","76,258","135,686","263,539","371,463","391,829","477,401","466,416","390,094","257,769","115,689","54,388","26,113","11,571","6,368","1,256",129
不同性別,男,"1,519,105",124,"8,056","33,948","63,632","124,000","174,902","176,811","220,304","220,444","203,383","144,834","72,730","38,670","20,319","9,809","5,842","1,185",112
,女,"1,550,885",458,"15,383","42,310","72,054","139,539","196,561","215,018","257,097","245,972","186,711","112,935","42,959","15,718","5,794","1,762",526,71,17
,計,"2,840",4,293,605,628,563,387,192,110,44,10,4,—,—,—,—,—,—,—
相同性別,男,693,—,92,131,132,118,89,52,50,20,5,4,—,—,—,—,—,—,—
,女,"2,147",4,201,474,496,445,298,140,60,24,5,—,—,—,—,—,—,—,—
,計,"720,206",34,"4,098","16,003","27,346","59,540","103,829","118,137","130,236","111,271","80,485","45,044","15,904","5,013","1,817",768,524,141,16
離婚/終止結婚,男,"339,604",6,"1,286","6,551","12,107","26,353","47,909","55,453","63,111","52,421","38,439","22,232","8,615","2,988","1,131",478,409,103,12
,女,"380,602",28,"2,812","9,452","15,239","33,187","55,920","62,684","67,125","58,850","42,046","22,812","7,289","2,025",686,290,115,38,4
,計,"719,864",32,"3,991","15,892","27,284","59,505","103,810","118,133","130,235","111,270","80,485","45,044","15,904","5,013","1,817",768,524,141,16
不同性別,男,"339,480",6,"1,246","6,511","12,086","26,337","47,904","55,452","63,110","52,421","38,439","22,232","8,615","2,988","1,131",478,409,103,12
,女,"380,384",26,"2,745","9,381","15,198","33,168","55,906","62,681","67,125","58,849","42,046","22,812","7,289","2,025",686,290,115,38,4
,計,342,2,107,111,62,35,19,4,1,1,—,—,—,—,—,—,—,—,—
相同性別,男,124,—,40,40,21,16,5,1,1,—,—,—,—,—,—,—,—,—,—
,女,218,2,67,71,41,19,14,3,—,1,—,—,—,—,—,—,—,—,—
,計,"215,802",—,30,181,522,"2,295","6,146","11,813","21,200","30,524","35,854","34,767","24,296","17,621","12,579","8,794","6,855","2,024",301
喪　　　　偶,男,"48,421",—,5,26,76,297,785,"1,525","3,032","5,000","7,056","7,766","5,787","5,216","4,598","3,472","2,846",821,113
,女,"167,381",—,25,155,446,"1,998","5,361","10,288","18,168","25,524","28,798","27,001","18,509","12,405","7,981","5,322","4,009","1,203",188
,計,"215,798",—,30,180,521,"2,295","6,146","11,811","21,200","30,524","35,854","34,767","24,296","17,621","12,579","8,794","6,855","2,024",301
不同性別,男,"48,419",—,5,25,76,297,785,"1,524","3,032","5,000","7,056","7,766","5,787","5,216","4,598","3,472","2,846",821,113
,女,"167,379",—,25,155,445,"1,998","5,361","10,287","18,168","25,524","28,798","27,001","18,509","12,405","7,981","5,322","4,009","1,203",188
,計,4,—,—,1,1,—,—,2,—,—,—,—,—,—,—,—,—,—,—
相同性別,男,2,—,—,1,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—
,女,2,—,—,—,1,—,—,1,—,—,—,—,—,—,—,—,—,—,—
