　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分,,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續1),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續2),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續3),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中華民國 110年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 110年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 110年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 110年底,,,,,,,,,,,,,,,,,,,單位：人
"婚姻狀況及
婚姻類型",性別,總　　　　　　　　　　　　　　　　　　　　計,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,博　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,碩　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,大　　　　　　學　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,
,,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"20,485,406","1,097,734","1,424,724","1,591,242","1,585,715","1,771,182","1,998,162","1,801,686","1,777,772","1,814,760","1,683,396","1,465,460","1,022,956","575,598","460,369","258,508","120,495","30,909","4,738",,計,"99,577",—,—,415,"3,686","11,281","16,221","14,452","14,222","14,098","10,730","7,292","4,125","1,671",877,364,110,32,1,,計,"1,216,424",—,"9,368","133,125","185,173","207,492","197,788","162,766","129,475","86,683","48,483","29,336","16,249","6,042","2,873","1,082",405,69,15,,計,"4,940,816",—,"431,705","940,658","864,027","752,114","585,281","389,622","272,158","212,738","169,468","140,190","98,304","42,733","22,316","10,426","6,477","2,215",384
總　　　　計,男,"10,078,464","574,085","741,685","825,351","819,451","884,401","985,293","882,337","873,204","886,769","813,629","696,974","476,519","256,442","192,117","102,595","52,177","13,336","2,099",總　　　　計,男,"71,683",—,—,300,"2,606","7,967","11,279","9,603","9,301","10,077","8,320","5,993","3,456","1,509",797,342,104,28,1,總　　　　計,男,"729,915",—,"5,396","81,760","111,480","122,200","113,414","92,912","75,356","53,422","32,205","20,996","12,156","4,791","2,449",940,363,61,14,總　　　　計,男,"2,358,220",—,"199,699","433,187","401,134","341,790","269,254","181,904","126,455","105,604","91,160","82,504","62,004","30,067","17,282","8,453","5,608","1,824",291
,女,"10,406,942","523,649","683,039","765,891","766,264","886,781","1,012,869","919,349","904,568","927,991","869,767","768,486","546,437","319,156","268,252","155,913","68,318","17,573","2,639",,女,"27,894",—,—,115,"1,080","3,314","4,942","4,849","4,921","4,021","2,410","1,299",669,162,80,22,6,4,—,,女,"486,509",—,"3,972","51,365","73,693","85,292","84,374","69,854","54,119","33,261","16,278","8,340","4,093","1,251",424,142,42,8,1,,女,"2,582,596",—,"232,006","507,471","462,893","410,324","316,027","207,718","145,703","107,134","78,308","57,686","36,300","12,666","5,034","1,973",869,391,93
,計,"6,980,709","1,095,521","1,373,356","1,326,270","921,936","652,020","528,236","357,410","263,151","191,260","122,960","75,683","39,381","14,803","9,147","4,755","3,034","1,403",383,,計,"19,208",—,—,356,"2,334","4,136","3,907","2,743","2,147","1,529",912,520,333,161,89,31,8,2,—,,計,"434,156",—,"9,316","123,464","116,200","73,814","44,216","28,424","18,921","10,473","4,646","2,607","1,349",483,161,58,13,9,2,,計,"2,437,024",—,"425,763","825,501","524,260","292,385","164,019","89,523","50,575","29,806","16,775","10,229","5,539","1,631",583,217,135,72,11
未　　　　婚,男,"3,794,143","573,625","724,434","720,044","533,035","385,510","303,663","192,007","136,627","98,632","62,333","34,122","15,544","6,109","3,668","1,933","1,663",921,273,未　　　　婚,男,"10,272",—,—,257,"1,631","2,704","2,183","1,216",788,538,330,247,168,113,64,26,6,1,—,未　　　　婚,男,"245,590",—,"5,375","76,695","72,883","43,885","22,011","11,273","6,639","3,359","1,613",964,526,223,93,37,5,7,2,未　　　　婚,男,"1,165,610",—,"198,212","394,703","270,591","150,493","76,932","35,807","17,659","9,796","5,367","3,280","1,683",538,256,116,108,62,7
,女,"3,186,566","521,896","648,922","606,226","388,901","266,510","224,573","165,403","126,524","92,628","60,627","41,561","23,837","8,694","5,479","2,822","1,371",482,110,,女,"8,936",—,—,99,703,"1,432","1,724","1,527","1,359",991,582,273,165,48,25,5,2,1,—,,女,"188,566",—,"3,941","46,769","43,317","29,929","22,205","17,151","12,282","7,114","3,033","1,643",823,260,68,21,8,2,—,,女,"1,271,414",—,"227,551","430,798","253,669","141,892","87,087","53,716","32,916","20,010","11,408","6,949","3,856","1,093",327,101,27,10,4
,計,"10,228,786","1,956","42,187","230,479","592,689","974,412","1,225,324","1,154,006","1,178,576","1,249,229","1,186,408","1,023,463","675,242","339,292","223,531","91,224","33,322","6,578",868,,計,"74,042",—,—,58,"1,325","6,926","11,789","10,860","10,964","11,374","8,892","6,088","3,387","1,331",676,279,75,17,1,,計,"722,329",—,52,"9,522","67,279","128,598","144,454","123,168","99,176","67,293","38,437","23,416","12,898","4,699","2,236",770,284,36,11,,計,"2,237,775",—,"5,679","109,749","321,036","428,794","385,033","266,200","190,617","154,883","128,722","108,904","76,458","32,690","16,489","7,109","4,138","1,129",145
有　　　　偶,男,"5,144,963",432,"14,269","91,093","255,996","439,983","576,218","561,887","587,476","632,000","614,320","548,830","383,032","202,477","139,942","62,605","27,678","5,951",774,有　　　　偶,男,"57,582",—,—,43,959,"5,128","8,772","7,929","7,961","8,860","7,395","5,271","3,001","1,253",645,274,73,17,1,有　　　　偶,男,"454,833",—,21,"4,997","37,713","75,680","86,880","76,508","63,566","45,754","27,909","18,174","10,467","4,061","2,056",723,277,36,11,有　　　　偶,男,"1,080,154",—,"1,421","36,739","123,692","179,216","177,259","132,303","96,757","84,002","75,143","69,409","52,763","25,479","14,177","6,538","4,022","1,100",134
,女,"5,083,823","1,524","27,918","139,386","336,693","534,429","649,106","592,119","591,100","617,229","572,088","474,633","292,210","136,815","83,589","28,619","5,644",627,94,,女,"16,460",—,—,15,366,"1,798","3,017","2,931","3,003","2,514","1,497",817,386,78,31,5,2,—,—,,女,"267,496",—,31,"4,525","29,566","52,918","57,574","46,660","35,610","21,539","10,528","5,242","2,431",638,180,47,7,—,—,,女,"1,157,621",—,"4,258","73,010","197,344","249,578","207,774","133,897","93,860","70,881","53,579","39,495","23,695","7,211","2,312",571,116,29,11
,計,"10,216,814","1,945","41,544","228,660","589,715","971,802","1,223,376","1,152,937","1,178,051","1,248,977","1,186,333","1,023,439","675,224","339,290","223,530","91,223","33,322","6,578",868,,計,"73,918",—,—,57,"1,323","6,905","11,750","10,837","10,940","11,364","8,890","6,086","3,387","1,331",676,279,75,17,1,,計,"721,118",—,49,"9,468","67,052","128,276","144,162","122,993","99,092","67,257","38,425","23,413","12,896","4,699","2,236",769,284,36,11,,計,"2,233,181",—,"5,597","109,060","319,622","427,665","384,372","265,846","190,465","154,807","128,698","108,900","76,450","32,689","16,489","7,109","4,138","1,129",145
　　不同性別,男,"5,141,548",430,"14,104","90,641","255,255","439,301","575,666","561,522","587,221","631,868","614,277","548,815","383,023","202,475","139,942","62,605","27,678","5,951",774,　　不同性別,男,"57,522",—,—,43,958,"5,120","8,757","7,919","7,945","8,854","7,393","5,269","3,001","1,253",645,274,73,17,1,　　不同性別,男,"454,356",—,19,"4,972","37,637","75,568","86,766","76,439","63,524","45,732","27,899","18,171","10,465","4,061","2,056",723,277,36,11,　　不同性別,男,"1,078,662",—,"1,397","36,542","123,269","178,880","177,038","132,167","96,672","83,959","75,125","69,405","52,759","25,478","14,177","6,538","4,022","1,100",134
,女,"5,075,266","1,515","27,440","138,019","334,460","532,501","647,710","591,415","590,830","617,109","572,056","474,624","292,201","136,815","83,588","28,618","5,644",627,94,,女,"16,396",—,—,14,365,"1,785","2,993","2,918","2,995","2,510","1,497",817,386,78,31,5,2,—,—,,女,"266,762",—,30,"4,496","29,415","52,708","57,396","46,554","35,568","21,525","10,526","5,242","2,431",638,180,46,7,—,—,,女,"1,154,519",—,"4,200","72,518","196,353","248,785","207,334","133,679","93,793","70,848","53,573","39,495","23,691","7,211","2,312",571,116,29,11
,計,"11,972",11,643,"1,819","2,974","2,610","1,948","1,069",525,252,75,24,18,2,1,1,—,—,—,,計,124,—,—,1,2,21,39,23,24,10,2,2,—,—,—,—,—,—,—,,計,"1,211",—,3,54,227,322,292,175,84,36,12,3,2,—,—,1,—,—,—,,計,"4,594",—,82,689,"1,414","1,129",661,354,152,76,24,4,8,1,—,—,—,—,—
　　相同性別,男,"3,415",2,165,452,741,682,552,365,255,132,43,15,9,2,—,—,—,—,—,　　相同性別,男,60,—,—,—,1,8,15,10,16,6,2,2,—,—,—,—,—,—,—,　　相同性別,男,477,—,2,25,76,112,114,69,42,22,10,3,2,—,—,—,—,—,—,　　相同性別,男,"1,492",—,24,197,423,336,221,136,85,43,18,4,4,1,—,—,—,—,—
,女,"8,557",9,478,"1,367","2,233","1,928","1,396",704,270,120,32,9,9,—,1,1,—,—,—,,女,64,—,—,1,1,13,24,13,8,4,—,—,—,—,—,—,—,—,—,,女,734,—,1,29,151,210,178,106,42,14,2,—,—,—,—,1,—,—,—,,女,"3,102",—,58,492,991,793,440,218,67,33,6,—,4,—,—,—,—,—,—
