"婚姻狀況及
婚姻類型",性別,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"20,485,406","1,097,734","1,424,724","1,591,242","1,585,715","1,771,182","1,998,162","1,801,686","1,777,772","1,814,760","1,683,396","1,465,460","1,022,956","575,598","460,369","258,508","120,495","30,909","4,738"
總　　　　計,男,"10,078,464","574,085","741,685","825,351","819,451","884,401","985,293","882,337","873,204","886,769","813,629","696,974","476,519","256,442","192,117","102,595","52,177","13,336","2,099"
,女,"10,406,942","523,649","683,039","765,891","766,264","886,781","1,012,869","919,349","904,568","927,991","869,767","768,486","546,437","319,156","268,252","155,913","68,318","17,573","2,639"
,計,"6,980,709","1,095,521","1,373,356","1,326,270","921,936","652,020","528,236","357,410","263,151","191,260","122,960","75,683","39,381","14,803","9,147","4,755","3,034","1,403",383
未　　　　婚,男,"3,794,143","573,625","724,434","720,044","533,035","385,510","303,663","192,007","136,627","98,632","62,333","34,122","15,544","6,109","3,668","1,933","1,663",921,273
,女,"3,186,566","521,896","648,922","606,226","388,901","266,510","224,573","165,403","126,524","92,628","60,627","41,561","23,837","8,694","5,479","2,822","1,371",482,110
,計,"10,228,786","1,956","42,187","230,479","592,689","974,412","1,225,324","1,154,006","1,178,576","1,249,229","1,186,408","1,023,463","675,242","339,292","223,531","91,224","33,322","6,578",868
有　　　　偶,男,"5,144,963",432,"14,269","91,093","255,996","439,983","576,218","561,887","587,476","632,000","614,320","548,830","383,032","202,477","139,942","62,605","27,678","5,951",774
,女,"5,083,823","1,524","27,918","139,386","336,693","534,429","649,106","592,119","591,100","617,229","572,088","474,633","292,210","136,815","83,589","28,619","5,644",627,94
,計,"10,216,814","1,945","41,544","228,660","589,715","971,802","1,223,376","1,152,937","1,178,051","1,248,977","1,186,333","1,023,439","675,224","339,290","223,530","91,223","33,322","6,578",868
不同性別,男,"5,141,548",430,"14,104","90,641","255,255","439,301","575,666","561,522","587,221","631,868","614,277","548,815","383,023","202,475","139,942","62,605","27,678","5,951",774
,女,"5,075,266","1,515","27,440","138,019","334,460","532,501","647,710","591,415","590,830","617,109","572,056","474,624","292,201","136,815","83,588","28,618","5,644",627,94
,計,"11,972",11,643,"1,819","2,974","2,610","1,948","1,069",525,252,75,24,18,2,1,1,—,—,—
相同性別,男,"3,415",2,165,452,741,682,552,365,255,132,43,15,9,2,—,—,—,—,—
,女,"8,557",9,478,"1,367","2,233","1,928","1,396",704,270,120,32,9,9,—,1,1,—,—,—
,計,"1,875,561",254,"9,112","34,140","69,761","138,659","229,428","263,519","288,082","288,181","239,762","171,721","87,328","30,789","15,066","5,912","2,876",851,120
離婚/終止結婚,男,"886,180",28,"2,969","14,160","30,174","58,099","103,320","124,651","141,596","142,047","114,653","82,539","43,395","15,952","7,330","2,839","1,764",578,86
,女,"989,381",226,"6,143","19,980","39,587","80,560","126,108","138,868","146,486","146,134","125,109","89,182","43,933","14,837","7,736","3,073","1,112",273,34
,計,"1,873,869",251,"8,808","33,576","69,367","138,435","229,298","263,472","288,063","288,177","239,761","171,719","87,328","30,789","15,066","5,912","2,876",851,120
不同性別,男,"885,683",27,"2,875","13,972","30,064","58,045","103,287","124,640","141,591","142,046","114,653","82,539","43,395","15,952","7,330","2,839","1,764",578,86
,女,"988,186",224,"5,933","19,604","39,303","80,390","126,011","138,832","146,472","146,131","125,108","89,180","43,933","14,837","7,736","3,073","1,112",273,34
,計,"1,692",3,304,564,394,224,130,47,19,4,1,2,—,—,—,—,—,—,—
相同性別,男,497,1,94,188,110,54,33,11,5,1,—,—,—,—,—,—,—,—,—
,女,"1,195",2,210,376,284,170,97,36,14,3,1,2,—,—,—,—,—,—,—
,計,"1,400,350",3,69,353,"1,329","6,091","15,174","26,751","47,963","86,090","134,266","194,593","221,005","190,714","212,625","156,617","81,263","22,077","3,367"
喪　　　　偶,男,"253,178",—,13,54,246,809,"2,092","3,792","7,505","14,090","22,323","31,483","34,548","31,904","41,177","35,218","21,072","5,886",966
,女,"1,147,172",3,56,299,"1,083","5,282","13,082","22,959","40,458","72,000","111,943","163,110","186,457","158,810","171,448","121,399","60,191","16,191","2,401"
,計,"1,400,313",3,68,350,"1,324","6,087","15,170","26,746","47,955","86,087","134,263","194,592","221,005","190,714","212,625","156,617","81,263","22,077","3,367"
不同性別,男,"253,160",—,13,52,244,808,"2,090","3,789","7,500","14,088","22,323","31,482","34,548","31,904","41,177","35,218","21,072","5,886",966
,女,"1,147,153",3,55,298,"1,080","5,279","13,080","22,957","40,455","71,999","111,940","163,110","186,457","158,810","171,448","121,399","60,191","16,191","2,401"
,計,37,—,1,3,5,4,4,5,8,3,3,1,—,—,—,—,—,—,—
相同性別,男,18,—,—,2,2,1,2,3,5,2,—,1,—,—,—,—,—,—,—
,女,19,—,1,1,3,3,2,2,3,1,3,—,—,—,—,—,—,—,—
