"婚姻狀況及
婚姻類型",性別,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"2,009,515",—,"61,589","51,879","60,682","151,916","323,757","353,481","304,762","249,924","183,645","139,578","74,049","24,945","14,707","7,794","5,279","1,373",155
總　　　　計,男,"1,005,825",—,"22,850","24,802","28,201","66,615","136,154","161,466","153,354","137,514","107,982","86,687","45,672","15,081","8,871","5,287","4,107","1,066",116
,女,"1,003,690",—,"38,739","27,077","32,481","85,301","187,603","192,015","151,408","112,410","75,663","52,891","28,377","9,864","5,836","2,507","1,172",307,39
,計,"417,636",—,"59,431","38,920","28,721","47,763","78,763","66,205","44,172","27,003","14,291","7,707","3,494",696,257,99,82,25,7
未　　　　婚,男,"194,835",—,"22,491","20,457","15,957","25,842","38,734","31,086","19,645","11,348","5,563","2,472",890,162,63,43,55,22,5
,女,"222,801",—,"36,940","18,463","12,764","21,921","40,029","35,119","24,527","15,655","8,728","5,235","2,604",534,194,56,27,3,2
,計,"1,333,431",—,"1,971","11,752","28,459","92,389","214,198","245,259","217,458","183,772","138,960","106,979","56,035","18,155","9,775","4,613","3,004",608,44
有　　　　偶,男,"693,824",—,321,"4,001","11,041","36,374","85,631","112,110","113,157","106,588","87,234","71,824","38,309","12,646","7,186","3,902","2,865",592,43
,女,"639,607",—,"1,650","7,751","17,418","56,015","128,567","133,149","104,301","77,184","51,726","35,155","17,726","5,509","2,589",711,139,16,1
,計,"1,332,353",—,"1,940","11,653","28,336","92,172","213,921","245,058","217,381","183,735","138,951","106,976","56,032","18,154","9,775","4,613","3,004",608,44
不同性別,男,"693,516",—,313,"3,983","11,027","36,320","85,568","112,031","113,114","106,568","87,229","71,823","38,307","12,645","7,186","3,902","2,865",592,43
,女,"638,837",—,"1,627","7,670","17,309","55,852","128,353","133,027","104,267","77,167","51,722","35,153","17,725","5,509","2,589",711,139,16,1
,計,"1,078",—,31,99,123,217,277,201,77,37,9,3,3,1,—,—,—,—,—
相同性別,男,308,—,8,18,14,54,63,79,43,20,5,1,2,1,—,—,—,—,—
,女,770,—,23,81,109,163,214,122,34,17,4,2,1,—,—,—,—,—,—
,計,"202,522",—,186,"1,189","3,425","11,410","29,060","38,626","38,135","32,531","22,779","15,869","6,695","1,552",581,263,164,51,6
離婚/終止結婚,男,"99,549",—,38,343,"1,194","4,325","11,510","17,650","19,367","17,651","12,739","9,258","3,902",899,313,184,130,41,5
,女,"102,973",—,148,846,"2,231","7,085","17,550","20,976","18,768","14,880","10,040","6,611","2,793",653,268,79,34,10,1
,計,"202,408",—,172,"1,160","3,406","11,394","29,041","38,613","38,131","32,531","22,779","15,869","6,695","1,552",581,263,164,51,6
不同性別,男,"99,506",—,28,324,"1,191","4,321","11,506","17,647","19,367","17,651","12,739","9,258","3,902",899,313,184,130,41,5
,女,"102,902",—,144,836,"2,215","7,073","17,535","20,966","18,764","14,880","10,040","6,611","2,793",653,268,79,34,10,1
,計,114,—,14,29,19,16,19,13,4,—,—,—,—,—,—,—,—,—,—
相同性別,男,43,—,10,19,3,4,4,3,—,—,—,—,—,—,—,—,—,—,—
,女,71,—,4,10,16,12,15,10,4,—,—,—,—,—,—,—,—,—,—
,計,"55,926",—,1,18,77,354,"1,736","3,391","4,997","6,618","7,615","9,023","7,825","4,542","4,094","2,819","2,029",689,98
喪　　　　偶,男,"17,617",—,—,1,9,74,279,620,"1,185","1,927","2,446","3,133","2,571","1,374","1,309","1,158","1,057",411,63
,女,"38,309",—,1,17,68,280,"1,457","2,771","3,812","4,691","5,169","5,890","5,254","3,168","2,785","1,661",972,278,35
,計,"55,924",—,1,18,77,354,"1,736","3,391","4,997","6,617","7,614","9,023","7,825","4,542","4,094","2,819","2,029",689,98
不同性別,男,"17,616",—,—,1,9,74,279,620,"1,185","1,926","2,446","3,133","2,571","1,374","1,309","1,158","1,057",411,63
,女,"38,308",—,1,17,68,280,"1,457","2,771","3,812","4,691","5,168","5,890","5,254","3,168","2,785","1,661",972,278,35
,計,2,—,—,—,—,—,—,—,—,1,1,—,—,—,—,—,—,—,—
相同性別,男,1,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—
,女,1,—,—,—,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—
