AIDS診斷年份,AIDS診斷月份,縣市別,性別,診斷年齡分組,個案數
1986,2,台北市,男,25-34,1
1987,9,台中市,男,35-44,1
1988,5,台南市,男,25-34,1
1988,10,新北市,男,35-44,1
1989,3,新北市,男,25-34,2
1989,4,新北市,男,55-64,1
1989,8,桃園市,男,25-34,1
1989,8,桃園市,男,45-54,1
1989,10,新北市,男,25-34,1
1989,10,新北市,男,65以上,1
1989,11,新北市,男,35-44,1
1990,5,台北市,男,15-24,1
1990,6,台北市,男,25-34,1
1990,7,台北市,男,45-54,1
1990,8,新北市,男,35-44,1
1990,9,台北市,男,25-34,1
1991,1,高雄市,男,25-34,1
1991,2,新竹縣,男,25-34,1
1991,5,台北市,男,25-34,1
1991,7,屏東縣,男,25-34,1
1991,7,高雄市,男,35-44,1
1991,9,新北市,男,25-34,1
1991,10,台中市,男,25-34,1
1991,10,台北市,男,25-34,1
1991,11,台北市,男,25-34,1
1991,11,台北市,男,45-54,1
1991,12,台北市,男,55-64,1
1991,12,彰化縣,男,55-64,1
1992,1,台北市,女,25-34,1
1992,2,新北市,男,45-54,1
1992,3,新北市,男,25-34,1
1992,3,新竹市,男,35-44,1
1992,4,台北市,女,65以上,1
1992,5,新北市,男,25-34,1
1992,5,新北市,男,55-64,1
1992,6,高雄市,男,35-44,1
1992,6,新北市,男,25-34,1
1992,8,台北市,女,25-34,1
1992,8,新北市,男,25-34,1
1992,8,彰化縣,男,25-34,1
1992,9,南投縣,男,25-34,1
1992,9,屏東縣,男,25-34,1
1992,9,新北市,男,35-44,1
1992,9,新北市,男,45-54,1
1992,9,新北市,男,55-64,1
1992,9,彰化縣,男,15-24,1
1992,10,桃園市,男,25-34,1
1992,10,彰化縣,男,55-64,1
1992,11,台北市,男,65以上,1
1992,11,雲林縣,男,35-44,1
1992,11,新北市,男,35-44,1
1993,1,新北市,男,35-44,1
1993,1,新北市,男,45-54,1
1993,1,新北市,男,55-64,1
1993,2,台中市,男,35-44,1
1993,2,新北市,女,15-24,1
1993,2,新北市,男,25-34,1
1993,2,新北市,男,65以上,1
1993,4,新北市,男,45-54,1
1993,5,台北市,女,25-34,1
1993,5,台北市,男,45-54,1
1993,5,澎湖縣,男,35-44,1
1993,6,台北市,男,35-44,1
1993,6,新北市,男,25-34,1
1993,7,台中市,男,25-34,1
1993,7,台北市,男,35-44,2
1993,7,新北市,女,45-54,1
1993,7,新北市,男,35-44,1
1993,8,台北市,男,25-34,1
1993,8,屏東縣,男,55-64,1
1993,9,台北市,男,55-64,1
1993,9,基隆市,男,25-34,1
1993,10,桃園市,男,25-34,1
1993,10,高雄市,男,25-34,1
1993,10,新北市,男,65以上,1
1993,11,台北市,男,55-64,1
1993,11,台南市,男,55-64,1
1993,11,高雄市,男,25-34,1
1993,11,新北市,男,25-34,1
1993,11,新北市,男,65以上,1
1993,12,台北市,男,15-24,1
1993,12,台北市,男,25-34,1
1993,12,桃園市,男,35-44,1
1993,12,高雄市,男,25-34,1
1993,12,嘉義縣,男,45-54,1
1994,1,台北市,男,25-34,1
1994,1,台北市,男,35-44,1
1994,1,台南市,男,45-54,1
1994,1,高雄市,男,15-24,1
1994,1,新北市,男,25-34,1
1994,2,台南市,男,35-44,1
1994,2,南投縣,男,25-34,1
1994,2,雲林縣,男,35-44,1
1994,2,新北市,男,45-54,1
1994,3,台南市,男,25-34,1
1994,3,台南市,男,35-44,1
1994,3,苗栗縣,男,25-34,1
1994,3,桃園市,男,35-44,1
1994,3,新北市,男,25-34,1
1994,4,台北市,男,35-44,1
1994,4,桃園市,男,15-24,1
1994,4,高雄市,男,45-54,1
1994,4,高雄市,男,55-64,1
1994,4,新北市,男,25-34,1
1994,5,台北市,男,35-44,1
1994,5,台北市,男,55-64,1
1994,5,台南市,男,15-24,1
1994,5,台南市,男,45-54,1
1994,5,新北市,男,35-44,2
1994,5,新北市,男,45-54,1
1994,6,台北市,男,25-34,3
1994,6,台北市,男,45-54,2
1994,6,花蓮縣,男,25-34,2
1994,6,新北市,男,35-44,1
1994,6,新北市,男,45-54,1
1994,7,高雄市,男,55-64,1
1994,7,新北市,男,25-34,2
1994,7,新北市,男,35-44,1
1994,8,台南市,男,65以上,1
1994,8,南投縣,男,25-34,1
1994,8,屏東縣,男,25-34,1
1994,8,高雄市,男,25-34,1
1994,9,台北市,男,25-34,1
1994,9,台北市,男,45-54,1
1994,9,台南市,男,25-34,1
1994,9,宜蘭縣,男,25-34,2
1994,9,桃園市,男,25-34,1
1994,9,新北市,男,25-34,1
1994,10,台北市,女,25-34,1
1994,10,台北市,男,45-54,3
1994,10,屏東縣,男,25-34,1
1994,10,嘉義縣,男,25-34,1
1994,11,台中市,男,55-64,1
1994,11,台北市,男,35-44,1
1994,11,花蓮縣,男,25-34,1
1994,11,苗栗縣,男,15-24,1
