　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分,,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續1),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續2),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續3),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中華民國 109年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 109年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 109年底,,,,,,,,,,,,,,,,,,,單位：人,,中華民國 109年底,,,,,,,,,,,,,,,,,,,單位：人
"婚姻狀況及
婚姻類型",性別,總　　　　　　　　　　　　　　　　　　　　計,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,博　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,碩　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,大　　　　　　學　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,
,,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
,計,"20,597,840","1,154,426","1,494,883","1,597,613","1,583,943","1,894,274","2,016,609","1,760,217","1,806,643","1,824,832","1,677,085","1,445,839","902,349","588,493","445,423","255,428","117,104","28,437","4,242",,計,"99,912",—,—,440,"4,319","12,816","16,693","13,329","14,431","13,754","10,370","6,931","3,832","1,680",842,339,110,25,1,,計,"1,194,119",—,"10,754","136,799","188,094","212,571","194,190","151,275","122,894","78,885","45,520","28,487","14,684","5,832","2,621","1,064",377,63,9,,計,"4,837,024",—,"455,954","938,859","837,957","753,449","553,603","353,572","259,504","207,596","167,917","139,496","88,274","40,516","20,450","10,708","6,695","2,145",329
總　　　　計,男,"10,134,705","602,819","777,563","828,469","812,698","941,428","993,290","861,418","888,663","892,095","809,910","687,090","420,487","262,423","185,500","104,537","52,093","12,345","1,877",總　　　　計,男,"72,078",—,—,332,"3,081","9,066","11,418","8,762","9,581","9,971","8,173","5,720","3,221","1,528",781,318,104,21,1,總　　　　計,男,"717,674",—,"6,538","84,588","112,584","125,401","110,543","86,570","72,069","49,336","30,489","20,397","10,922","4,660","2,241",929,342,57,8,總　　　　計,男,"2,309,343",—,"210,233","432,628","386,557","341,335","255,420","165,052","121,320","104,824","91,626","82,357","56,258","29,106","15,944","8,884","5,797","1,743",259
,女,"10,463,135","551,607","717,320","769,144","771,245","952,846","1,023,319","898,799","917,980","932,737","867,175","758,749","481,862","326,070","259,923","150,891","65,011","16,092","2,365",,女,"27,834",—,—,108,"1,238","3,750","5,275","4,567","4,850","3,783","2,197","1,211",611,152,61,21,6,4,—,,女,"476,445",—,"4,216","52,211","75,510","87,170","83,647","64,705","50,825","29,549","15,031","8,090","3,762","1,172",380,135,35,6,1,,女,"2,527,681",—,"245,721","506,231","451,400","412,114","298,183","188,520","138,184","102,772","76,291","57,139","32,016","11,410","4,506","1,824",898,402,70
,計,"7,036,146","1,151,874","1,439,992","1,328,321","905,738","674,283","512,286","332,192","253,605","181,823","116,057","72,580","33,858","14,710","8,924","4,824","3,303","1,415",361,,計,"19,823",—,—,388,"2,639","4,523","3,955","2,497","2,123","1,509",859,560,412,220,96,30,8,4,—,,計,"431,932",—,"10,706","126,889","116,562","72,746","41,817","26,288","17,718","9,497","4,555","2,858","1,485",545,178,64,13,11,—,,計,"2,395,724",—,"449,522","820,974","501,982","284,913","151,162","78,804","46,670","27,793","16,011","10,268","5,034","1,572",561,224,148,75,11
未　　　　婚,男,"3,815,928","602,341","758,956","722,166","522,691","397,310","290,895","176,910","131,552","94,036","58,398","31,961","13,498","6,339","3,694","2,116","1,871",926,268,未　　　　婚,男,"10,790",—,—,294,"1,850","2,936","2,129","1,090",775,566,350,279,243,169,77,23,7,2,—,未　　　　婚,男,"244,655",—,"6,513","79,316","72,897","42,966","19,777","10,156","6,155","3,076","1,649","1,127",589,269,111,40,5,9,—,未　　　　婚,男,"1,140,437",—,"208,592","393,487","257,861","144,580","68,885","30,544","16,132","9,075","5,242","3,305","1,560",587,257,143,119,60,8
,女,"3,220,218","549,533","681,036","606,155","383,047","276,973","221,391","155,282","122,053","87,787","57,659","40,619","20,360","8,371","5,230","2,708","1,432",489,93,,女,"9,033",—,—,94,789,"1,587","1,826","1,407","1,348",943,509,281,169,51,19,7,1,2,—,,女,"187,277",—,"4,193","47,573","43,665","29,780","22,040","16,132","11,563","6,421","2,906","1,731",896,276,67,24,8,2,—,,女,"1,255,287",—,"240,930","427,487","244,121","140,333","82,277","48,260","30,538","18,718","10,769","6,963","3,474",985,304,81,29,15,3
,計,"10,322,361","2,251","45,463","235,696","607,117","1,061,378","1,252,428","1,139,008","1,211,740","1,270,745","1,191,809","1,012,668","597,532","347,741","215,215","91,423","33,335","6,032",780,,計,"74,029",—,—,51,"1,641","8,038","12,199","10,025","11,196","11,147","8,645","5,739","3,054","1,307",639,264,72,11,1,,計,"705,944",—,46,"9,747","69,898","134,556","143,382","114,671","94,414","61,571","36,041","22,510","11,516","4,487","2,023",760,282,33,7,,計,"2,188,330",—,"6,133","112,512","318,332","438,375","368,308","243,327","183,157","152,850","128,558","108,567","68,862","31,230","15,230","7,387","4,330","1,041",131
